Product,Test,Method,above_floor,Time,bg_floor_log10,criterion_value,Range_log10,Range_units,n_in_intersect,n_above_floor,n_total,no_range,problematic,best_achieved,valid
Med Beverage,Charm,Best Accuracy,TRUE,12 Hours,1.24,0.7917,no range above floor,—,6,8,8,NA,"Geo 1, Geo 4",NA,FALSE
Med Beverage,Charm,Best Accuracy,TRUE,24 Hours,1.24,0.8125,1.30 – 1.80,2.0e+01 – 6.3e+01,8,8,8,NA,NA,NA,TRUE
Med Beverage,Charm,Best Accuracy,TRUE,48 Hours,1.24,0.7917,1.30,2.0e+01,8,8,8,NA,NA,NA,TRUE
Med Beverage,Charm,Youden J,FALSE,6 Hours,1.24,0.6,no range,—,0,2,8,NA,"Geo 1, AF 8",NA,FALSE
Med Beverage,Charm,Youden J,FALSE,12 Hours,1.24,0.8,1.10,1.3e+01,5,5,8,NA,NA,NA,TRUE
Med Beverage,Charm,Youden J,FALSE,24 Hours,1.24,0.85,no range,—,2,8,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 6, AF 7",NA,FALSE
Med Beverage,Charm,Youden J,FALSE,48 Hours,1.24,0.8938,no range,—,2,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 6, AF 7, AF 8",NA,FALSE
Med Beverage,Charm,Sensitivity-first,FALSE,6 Hours,1.24,1,no range,—,0,2,8,NA,"Geo 1, AF 8",NA,FALSE
Med Beverage,Charm,Sensitivity-first,FALSE,12 Hours,1.24,1,no range,—,1,5,8,NA,"Geo 1, Geo 3, AF 5, AF 6",NA,FALSE
Med Beverage,Charm,Sensitivity-first,FALSE,24 Hours,1.24,1,no range,—,1,8,8,NA,"Geo 1, Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7",NA,FALSE
Med Beverage,Charm,Sensitivity-first,FALSE,48 Hours,1.24,1,no range,—,2,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 6, AF 7, AF 8",NA,FALSE
